ID,Name,Description,Contributor,Citation,Glottocode,Year,Source,Media_IDs,Type,Map_IDs
map_1,,,,,,,wikipedia2024officiallang,,map,
1,Indonesian,,,,indo1316,2024,wikipedia2024officiallang,features,feature,map_1
2,Malay,,,,mala1479,2024,wikipedia2024officiallang,features,feature,map_1
3,Spanish,,,,stan1288,2024,wikipedia2024officiallang,features,feature,map_1
4,Aymara,,,,cent2142,2024,wikipedia2024officiallang,features,feature,map_1
5,Araona,,,,arao1248,2024,wikipedia2024officiallang,features,feature,map_1
6,Baure,,,,baur1253,2024,wikipedia2024officiallang,features,feature,map_1
7,Bésiro (Chiquitano),,,,chiq1253,2024,wikipedia2024officiallang,features,feature,map_1
8,Canichana,,,,cani1243,2024,wikipedia2024officiallang,features,feature,map_1
9,Cavineña,,,,cavi1250,2024,wikipedia2024officiallang,features,feature,map_1
10,Cayubaba,,,,cayu1262,2024,wikipedia2024officiallang,features,feature,map_1
11,Chácobo,,,,chac1251,2024,wikipedia2024officiallang,features,feature,map_1
12,Chimán,,,,mose1249,2024,wikipedia2024officiallang,features,feature,map_1
13,Ese Ejja,,,,esee1248,2024,wikipedia2024officiallang,features,feature,map_1
14,Guaraní,,,,para1311,2024,wikipedia2024officiallang,features,feature,map_1
15,Guarasu'we,,,,paus1244,2024,wikipedia2024officiallang,features,feature,map_1
16,Guarayu,,,,guar1292,2024,wikipedia2024officiallang,features,feature,map_1
17,Itonama,,,,iton1250,2024,wikipedia2024officiallang,features,feature,map_1
18,Leco,,,,leco1242,2024,wikipedia2024officiallang,features,feature,map_1
19,Machajuyai-Kallawaya,,,,call1235,2024,wikipedia2024officiallang,features,feature,map_1
20,Machineri,,,,mach1268,2024,wikipedia2024officiallang,features,feature,map_1
21,Maropa,,,,reye1240,2024,wikipedia2024officiallang,features,feature,map_1
22,Mojeño-Ignaciano,,,,igna1246,2024,wikipedia2024officiallang,features,feature,map_1
23,Mojeño-Trinitario,,,,trin1278,2024,wikipedia2024officiallang,features,feature,map_1
24,Moré,,,,iten1243,2024,wikipedia2024officiallang,features,feature,map_1
25,Mosetén,,,,mose1249,2024,wikipedia2024officiallang,features,feature,map_1
26,Movima,,,,movi1243,2024,wikipedia2024officiallang,features,feature,map_1
27,Pacawara,,,,paca1246,2024,wikipedia2024officiallang,features,feature,map_1
28,Puquina,,,,puqu1242,2024,wikipedia2024officiallang,features,feature,map_1
29,Quechua,,,,quec1387,2024,wikipedia2024officiallang,features,feature,map_1
30,Sirionó,,,,siri1273,2024,wikipedia2024officiallang,features,feature,map_1
31,Tacana,,,,taca1256,2024,wikipedia2024officiallang,features,feature,map_1
32,Tapieté,,,,tapi1253,2024,wikipedia2024officiallang,features,feature,map_1
33,Toromona,,,,toro1255,2024,wikipedia2024officiallang,features,feature,map_1
34,Uru-Chipaya,,,,uruc1242,2024,wikipedia2024officiallang,features,feature,map_1
35,Weenhayek,,,,wich1264,2024,wikipedia2024officiallang,features,feature,map_1
36,Yaminawa,,,,yami1256,2024,wikipedia2024officiallang,features,feature,map_1
37,Yuki,,,,yuqu1240,2024,wikipedia2024officiallang,features,feature,map_1
38,Yuracaré,,,,yura1255,2024,wikipedia2024officiallang,features,feature,map_1
39,Zamuco,,,,zamu1245,2024,wikipedia2024officiallang,features,feature,map_1
40,Greek,,,,mode1248,2024,wikipedia2024officiallang,features,feature,map_1
41,Turkish,,,,nucl1301,2024,wikipedia2024officiallang,features,feature,map_1
42,Hindi,,,,hind1269,2024,wikipedia2024officiallang,features,feature,map_1
43,English,,,,stan1293,2024,wikipedia2024officiallang,features,feature,map_1
44,Standard Chinese,,,,mand1415,2024,wikipedia2024officiallang,features,feature,map_1
45,Hebrew,,,,hebr1245,2024,wikipedia2024officiallang,features,feature,map_1
46,Arabic,,,,stan1318,2024,wikipedia2024officiallang,features,feature,map_1
47,Afar,,,,afar1241,2024,wikipedia2024officiallang,features,feature,map_1
48,Amharic,,,,amha1245,2024,wikipedia2024officiallang,features,feature,map_1
49,Oromo,,,,nucl1736,2024,wikipedia2024officiallang,features,feature,map_1
50,Somali,,,,soma1255,2024,wikipedia2024officiallang,features,feature,map_1
51,Tigrinya,,,,tigr1271,2024,wikipedia2024officiallang,features,feature,map_1
52,Swahili,,,,swah1253,2024,wikipedia2024officiallang,features,feature,map_1
53,Chichewa,,,,nyan1308,2024,wikipedia2024officiallang,features,feature,map_1
54,French,,,,stan1290,2024,wikipedia2024officiallang,features,feature,map_1
55,Dutch,,,,dutc1256,2024,wikipedia2024officiallang,features,feature,map_1
56,Korean,,,,kore1280,2024,wikipedia2024officiallang,features,feature,map_1
57,Berber,,,,berb1260,2024,wikipedia2024officiallang,features,feature,map_1
58,Dzongkha,,,,dzon1239,2024,wikipedia2024officiallang,features,feature,map_1
59,Ukrainian,,,,ukra1253,2024,wikipedia2024officiallang,features,feature,map_1
