ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Feature_IDs,Glottolog_Languoid_Level,Family,Speaker_Area
bosn1245,Bosnian Standard,,43.859,17.046,bosn1245,,147,dialect,Indo-European,dialects
chew1246,Chewa,,,,chew1246,,123,dialect,Atlantic-Congo,dialects
croa1245,Croatian Standard,,45.555,15.982,croa1245,,121,dialect,Indo-European,dialects
east2821,Eastern Herzegovinian Shtokavian,,,,east2821,,94 121 146 147,dialect,Indo-European,dialects
jerr1238,Jerriais,,49.2123,-2.1325,jerr1238,,186,dialect,Indo-European,dialects
mont1282,Montenegrin Standard,,,,mont1282,,146,dialect,Indo-European,dialects
news1236,New Shtokavian,,,,news1236,,94 121 146 147,dialect,Indo-European,dialects
serb1264,Serbian Standard,,44.3238,21.9192,serb1264,,94,dialect,Indo-European,dialects
shto1241,Shtokavski,,,,shto1241,,94 121 146 147,dialect,Indo-European,dialects
trin1278,Trinitario,,,,trin1278,,23,dialect,Arawakan,dialects
afar1241,Afar,,12.2281,41.8083,afar1241,,47,language,Afro-Asiatic,languages
afri1274,Afrikaans,,-31.63272,20.46356,afri1274,,62,language,Indo-European,languages
amha1245,Amharic,,11.708182,39.543456,amha1245,,48,language,Afro-Asiatic,languages
arao1248,Araona,,-12.4242,-67.7293,arao1248,,5,language,Pano-Tacanan,languages
bamb1269,Bambara,,12.9,-7.65,bamb1269,,108,language,Mande,languages
bang1363,Bangime,,14.8116,-3.77092,bang1363,,111,language,,languages
barw1243,Barwe,,-17.675,33.4534,barw1243,,124,language,Atlantic-Congo,languages
baur1253,Baure,,-13.61,-63.68,baur1253,,6,language,Arawakan,languages
bela1254,Belarusian,,53.2307,25.6038,bela1254,,60,language,Indo-European,languages
beng1280,Bengali,,24.0,90.0,beng1280,,142,language,Indo-European,languages
bisl1239,Bislama,,-15.4,166.89,bisl1239,,180,language,Indo-European,languages
biss1248,Bissa,,10.4257,-1.67332,biss1248,,151,language,Mande,languages
bulg1262,Bulgarian,,43.3646,25.047,bulg1262,,134,language,Indo-European,languages
call1235,Callawalla,,-15.88451,-68.10176,call1235,,19,language,Speech Register,languages
cani1243,Canichana,,-14.3058,-64.944455,cani1243,,8,language,,languages
caro1242,Carolinian,,15.205,145.765,caro1242,,190,language,Austronesian,languages
cavi1250,Cavineña,,-13.3544,-66.6277,cavi1250,,9,language,Pano-Tacanan,languages
cayu1262,Cayubaba,,-13.2482,-65.4822,cayu1262,,10,language,,languages
cent1989,Central Khmer,,12.0515,105.015,cent1989,,88,language,Austroasiatic,languages
cent2142,Central Aymara,,-17.0,-68.5,cent2142,,4,language,Aymaran,languages
chac1251,Chácobo,,-12.133,-66.7164,chac1251,,11,language,Pano-Tacanan,languages
cham1312,Chamorro,,13.438011,144.74474,cham1312,,189,language,Austronesian,languages
czec1258,Czech,,49.873398,15.10437,czec1258,,78,language,Indo-European,languages
dani1285,Danish,,54.8655,9.36284,dani1285,,98,language,Indo-European,languages
dari1249,Dari,,34.39757,66.14961,dari1249,,144,language,Indo-European,languages
dhiv1236,Dhivehi,,1.928498,73.54433,dhiv1236,,178,language,Indo-European,languages
dutc1256,Dutch,,52.0,5.0,dutc1256,,55,language,Indo-European,languages
dyul1238,Dyula,,10.4536,-4.72007,dyul1238,,152,language,Mande,languages
dzon1239,Dzongkha,,27.410786,89.581604,dzon1239,,58,language,Sino-Tibetan,languages
esee1248,Ese Ejja,,-11.7268,-67.515,esee1248,,13,language,Pano-Tacanan,languages
esto1258,Estonian,,58.55,25.82,esto1258,,81,language,Uralic,languages
faro1244,Faroese,,62.0732,-6.88497,faro1244,,188,language,Indo-European,languages
fiji1242,Fiji Hindi,,-17.8148,177.772,fiji1242,,157,language,Indo-European,languages
fiji1243,Fijian,,-18.0,178.33,fiji1243,,156,language,Austronesian,languages
fili1244,Filipino,,12.265,123.464,fili1244,,160,language,Austronesian,languages
finn1318,Finnish,,64.7628,25.5577,finn1318,,86,language,Uralic,languages
gilb1244,Gilbertese,,0.179,173.64,gilb1244,,167,language,Austronesian,languages
guar1292,Guarayu,,-15.8247,-61.6934,guar1292,,16,language,Tupian,languages
hait1244,Haitian,,18.795135,-72.136115,hait1244,,136,language,Indo-European,languages
hass1238,Hassaniyya,,18.29,-14.11,hass1238,,113,language,Afro-Asiatic,languages
hebr1245,Modern Hebrew,,31.1056,35.0179,hebr1245,,45,language,Afro-Asiatic,languages
hind1269,Hindi,,25.0,77.0,hind1269,,42,language,Indo-European,languages
hiri1237,Hiri Motu,,-9.33333,147.083,hiri1237,,153,language,Pidgin,languages
hung1274,Hungarian,,46.9068585714,19.6555271429,hung1274,,100,language,Uralic,languages
icel1247,Icelandic,,63.4837,-19.0212,icel1247,,165,language,Indo-European,languages
igna1246,Ignaciano,,-15.1188,-65.3993,igna1246,,22,language,Arawakan,languages
indo1316,Standard Indonesian,,-7.33458,109.716,indo1316,,1,language,Austronesian,languages
iris1253,Irish,,53.2186,-7.61509,iris1253,,102,language,Indo-European,languages
ital1282,Italian,,43.0464,12.6489,ital1282,,105,language,Indo-European,languages
iten1243,Itene,,-12.2994,-64.9841,iten1243,,24,language,Chapacuran,languages
iton1250,Itonama,,-12.80431,-64.35748,iton1250,,17,language,,languages
kala1384,Kalanga,,-21.2887,27.401,kala1384,,125,language,Atlantic-Congo,languages
kala1399,Kalaallisut,,69.3761,-52.864,kala1399,,183,language,Eskimo-Aleut,languages
kaza1248,Kazakh,,51.17,71.454,kaza1248,,73,language,Turkic,languages
kiny1244,Kinyarwanda,,-1.56771,29.6441,kiny1244,,140,language,Atlantic-Congo,languages
kirg1245,Kirghiz,,42.0,74.0,kirg1245,,96,language,Turkic,languages
kore1280,Korean,,37.54,126.98,kore1280,,56,language,Koreanic,languages
laoo1244,Lao,,19.0,102.46,laoo1244,,95,language,Tai-Kadai,languages
lati1261,Latin,,41.9026,12.4502,lati1261,,155,language,Indo-European,languages
latv1249,Latvian,,56.826108,24.309118,latv1249,,82,language,Indo-European,languages
leco1242,Leco,,-15.0092,-67.8818,leco1242,,18,language,,languages
lith1251,Lithuanian,,55.1429,23.9601,lith1251,,75,language,Indo-European,languages
luxe1241,Moselle Franconian,,49.6839,6.14931,luxe1241,,89,language,Indo-European,languages
mace1250,Macedonian,,41.5957,21.7932,mace1250,,91,language,Indo-European,languages
mach1268,Machinere,,-10.661655,-70.208108,mach1268,,20,language,Arawakan,languages
mala1479,Central Malay,,1.85856,103.0,mala1479,,2,language,Austronesian,languages
malt1254,Maltese,,35.8884,14.4508,malt1254,,171,language,Afro-Asiatic,languages
mama1271,Mamara Senoufo,,12.4871,-5.28245,mama1271,,116,language,Atlantic-Congo,languages
mand1415,Mandarin Chinese,,40.0209,116.228,mand1415,,44 163,language,Sino-Tibetan,languages
manx1243,Manx,,54.2604,-4.45437,manx1243,,187,language,Indo-European,languages
maor1246,Maori,,-38.2881,176.541,maor1246,,158,language,Austronesian,languages
mars1254,Marshallese,,8.72,167.73,mars1254,,168,language,Austronesian,languages
mode1248,Modern Greek,,38.36,23.13,mode1248,,40,language,Indo-European,languages
mori1278,Morisyen,,-20.2613,57.5517,mori1278,,169,language,Indo-European,languages
mose1249,Mosetén-Chimané,,-14.64448,-67.83756,mose1249,,12 25,language,,languages
moss1236,Mossi,,11.95,-1.32,moss1236,,150,language,Atlantic-Congo,languages
movi1243,Movima,,-13.8115,-65.6348,movi1243,,26,language,,languages
namb1291,Nambya,,-19.0899,26.0394,namb1291,,127,language,Atlantic-Congo,languages
naur1243,Nauru,,-0.52957,166.922,naur1243,,179,language,Austronesian,languages
ndau1241,Ndau,,-20.1239,33.1739,ndau1241,,128,language,Atlantic-Congo,languages
nepa1254,Nepali,,28.0,85.0,nepa1254,,149,language,Indo-European,languages
niue1239,Niuean,,-19.06,-169.86,niue1239,,181,language,Austronesian,languages
norw1258,Norwegian,,59.92,10.71,norw1258,,83,language,Indo-European,languages
nucl1235,Eastern Armenian,,40.0,45.0,nucl1235,,97,language,Indo-European,languages
nucl1301,Turkish,,39.8667,32.8667,nucl1301,,41,language,Turkic,languages
nucl1302,Georgian,,41.850397,43.78613,nucl1302,,90,language,Kartvelian,languages
nucl1310,Burmese,,20.7926,93.9665,nucl1310,,141,language,Sino-Tibetan,languages
nucl1643,Japanese,,35.0,135.0,nucl1643,,164,language,Japonic,languages
nyan1308,Nyanja,,-14.8047,32.8108,nyan1308,,53 123,language,Atlantic-Congo,languages
paca1246,Pacahuara,,-11.9968,-65.5568,paca1246,,27,language,Pano-Tacanan,languages
pala1344,Palauan,,7.34138,134.476678,pala1344,,182,language,Austronesian,languages
