id,name,year,glottocode,country,map_name_full,note
1,Indonesian,2024,indo1316,Indonesia,,
2,Malay,2024,mala1479,Malaysia,,
3,Spanish,2024,stan1288,Chile,,
4,Spanish,2024,stan1288,Bolivia,,
5,Aymara,2024,cent2142,Bolivia,,
6,Araona,2024,arao1248,Bolivia,,
7,Baure,2024,baur1253,Bolivia,,
8,Bésiro (Chiquitano),2024,chiq1253,Bolivia,,
9,Canichana,2024,cani1243,Bolivia,,
10,Cavineña,2024,cavi1250,Bolivia,,
11,Cayubaba,2024,cayu1262,Bolivia,,
12,Chácobo,2024,chac1251,Bolivia,,
13,Chimán,2024,mose1249,Bolivia,,
14,Ese Ejja,2024,esee1248,Bolivia,,
15,Guaraní,2024,para1311,Bolivia,,
16,Guarasu'we,2024,paus1244,Bolivia,,
17,Guarayu,2024,guar1292,Bolivia,,
18,Itonama,2024,iton1250,Bolivia,,
19,Leco,2024,leco1242,Bolivia,,
20,Machajuyai-Kallawaya,2024,call1235,Bolivia,,
21,Machineri,2024,mach1268,Bolivia,,
22,Maropa,2024,reye1240,Bolivia,,
23,Mojeño-Ignaciano,2024,igna1246,Bolivia,,
24,Mojeño-Trinitario,2024,trin1278,Bolivia,,
25,Moré,2024,iten1243,Bolivia,,
26,Mosetén,2024,mose1249,Bolivia,,
27,Movima,2024,movi1243,Bolivia,,
28,Pacawara,2024,paca1246,Bolivia,,
29,Puquina,2024,puqu1242,Bolivia,,
30,Quechua,2024,quec1387,Bolivia,,
31,Sirionó,2024,siri1273,Bolivia,,
32,Tacana,2024,taca1256,Bolivia,,
33,Tapieté,2024,tapi1253,Bolivia,,
34,Toromona,2024,toro1255,Bolivia,,
35,Uru-Chipaya,2024,uruc1242,Bolivia,,
36,Weenhayek,2024,wich1264,Bolivia,,
37,Yaminawa,2024,yami1256,Bolivia,,
38,Yuki,2024,yuqu1240,Bolivia,,
39,Yuracaré,2024,yura1255,Bolivia,,
40,Zamuco,2024,zamu1245,Bolivia,,
41,Spanish,2024,stan1288,Peru,,
42,Spanish,2024,stan1288,Argentina,,
43,Greek,2024,mode1248,Cyprus,,
44,Turkish,2024,nucl1301,Cyprus,,
45,Hindi,2024,hind1269,India,,
46,English,2024,stan1293,India,,
47,Standard Chinese,2024,mand1415,China,,
48,Hebrew,2024,hebr1245,Israel,,
49,Arabic,2024,stan1318,Palestine,,
50,Arabic,2024,stan1318,Lebanon,,
51,Afar,2024,afar1241,Ethiopia,,
52,Amharic,2024,amha1245,Ethiopia,,
53,Oromo,2024,nucl1736,Ethiopia,,
54,Somali,2024,soma1255,Ethiopia,,
55,Tigrinya,2024,tigr1271,Ethiopia,,
